id,nom,prenom,email,telephone,age,ville,experience_annees,poste_actuel,entreprise_actuelle,education_niveau,diplome,universite,annee_diplome,competences_techniques,competences_langues,langues_niveau,experience_detail,projets,certifications,disponibilite,pretention_salaire
1,Alaoui,Iman,iman.alaoui1@email.ma,0669579269,22,Fes,11,"Développeur PHP","Capgemini Maroc",Bac+3,"Ingénieur d'état",EHTP,2015,"PostgreSQL, MySQL, Laravel, Spring, Scrum, Docker","Français, Arabe, Anglais","Bilingue, Intermédiaire, Natif","Expérience chez Capgemini Maroc pendant 11 an(s).",,,Immédiate,12293
2,Tazi,Zineb,zineb.tazi2@email.ma,0679820339,31,Khemisset,4,"Architecte solutions",REDAL,Bac+2,"Ingénieur d'état",INSEA,2023,"Angular, Power BI, JavaScript, Vue.js, CI/CD, Kubernetes, React, TensorFlow, Agile, Node.js, Tableau, REST API","Anglais, Français","Intermédiaire, Bilingue","Expérience chez OCP pendant 4 an(s).",,Scrum,Immédiate,23622
3,Bennani,Nadia,nadia.bennani3@email.ma,0667451792,25,Meknes,4,"Administrateur système","Capgemini Maroc",Bac+2,"Master Data",ENSI,2012,"Java, Azure, Git, Angular, Symfony, Python","Arabe, Anglais, Français","Intermédiaire, Courant","Expérience chez Orange Maroc pendant 4 an(s).","Projet JavaScript.",PMP,"2 mois",6163
4,Bensouda,Anas,anas.bensouda4@email.ma,0667637235,29,Oujda,8,"Consultant SAP",Webhelp,Bac+2,"Master Réseaux","UM5 Rabat",2012,"Tableau, Docker, CI/CD, Power BI","Français, Anglais, Arabe","Bilingue, Courant, Intermédiaire","Expérience chez Royal Air Maroc pendant 8 an(s).","Projet Tableau.",,"3 mois",6798
5,Bouhout,Khalid,khalid.bouhout5@email.ma,0652731492,36,Meknes,7,"Développeur PHP","Capgemini Maroc",Bac+2,"Master SI",EMI,2012,"Agile, Java, Git, JavaScript, PostgreSQL, Angular","Anglais, Arabe","Bilingue, Intermédiaire","Expérience chez Orange Maroc pendant 7 an(s).",,Azure,"2 mois",13433
6,Lamrani,Younes,younes.lamrani6@email.ma,0612493265,41,Taza,14,"Ingénieur cloud",BMCE,Bac+5,"Ingénieur d'état","FST Fes",2013,"Docker, Angular, Symfony, Scrum, REST API, Java, Tableau, Python","Anglais, Arabe, Français","Intermédiaire, Courant, Bilingue","Expérience chez Groupe Addoha pendant 14 an(s).","Projet Laravel.",,Immédiate,15080
7,Sefrioui,Meryem,meryem.sefrioui7@email.ma,0627186091,28,Oujda,9,"Ingénieur logiciel","Maroc Telecom",Bac+5,"Master SI",ENSIAS,2018,"PostgreSQL, Machine Learning, SQL, Java, Vue.js, CI/CD, Python, Spring, Power BI, Azure, TensorFlow, Scrum","Français, Arabe","Natif, Courant","Expérience chez Orange Maroc pendant 9 an(s).","Projet Power BI.",,"2 mois",12604
8,Drissi,Asmae,asmae.drissi8@email.ma,0638415864,26,Meknes,13,"Ingénieur logiciel",OCP,Bac+3,"Master Big Data","Université Cadi Ayyad",2013,"Laravel, MySQL, Linux, REST API, Docker, Pandas, Scrum, Tableau, PHP","Français, Anglais","Intermédiaire, Bilingue, Natif","Expérience chez OCP pendant 13 an(s).","Projet Git.",,Immédiate,11341
9,Sefrioui,Bilal,bilal.sefrioui9@email.ma,0662193223,26,Nador,2,"Scrum Master","Orange Maroc",Bac+2,"Master MIAGE","FST Fes",2022,"Angular, Power BI, Azure, Python","Anglais, Français","Bilingue, Intermédiaire","Expérience chez Orange Maroc pendant 2 an(s).","Projet Angular.",PMP,"2 mois",5848
10,Kabbaj,Mehdi,mehdi.kabbaj10@email.ma,0674133486,39,Khouribga,1,"Ingénieur cloud","Royal Air Maroc",Bac+5,"Ingénieur d'état","FST Marrakech",2022,"Machine Learning, React, CI/CD, Node.js, Symfony, Vue.js, Linux, AWS, Angular, SQL","Anglais, Arabe, Français","Intermédiaire, Natif, Bilingue","Expérience chez CGI pendant 1 an(s).","Projet CI/CD.",AWS,"2 mois",7514
